Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus_Alicyclobacillaceae,59,0,21,2,3,5
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,Kyrpidia_Alicyclobacillaceae,0,0,190,4,100,7
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,Anaerobacillus_Bacillaceae,68,0,2,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus_Bacillaceae,78,1,11,1,14,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_Bacillaceae,12412,8,744,224,799,7
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_Bacillaceae,8,0,2,0,0,2
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halalkalibacillus,Halalkalibacillus_Bacillaceae,16,0,5,0,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,Halobacillus_Bacillaceae,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,Lentibacillus_Bacillaceae,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinibacillus,Marinibacillus_Bacillaceae,67,0,4,0,2,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Natronobacillus,Natronobacillus_Bacillaceae,0,0,0,1,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus_Bacillaceae,22,0,2,0,2,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus,Ornithinibacillus_Bacillaceae,271,2,9,1,5,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salimicrobium,Salimicrobium_Bacillaceae,1,0,6,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salirhabdus,Salirhabdus_Bacillaceae,11,0,0,0,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus_Bacillaceae,1,0,1,0,0,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Exiguobacteraceae,Exiguobacterium,Exiguobacterium_Exiguobacteraceae,196,0,11,0,24,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix_Listeriaceae,0,0,4,0,2,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_Listeriaceae,35,0,1,0,2,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus_Paenibacillaceae,3,0,3,0,0,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus_Paenibacillaceae,191,0,7,2,17,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella_Paenibacillaceae,354,1,21,0,20,2
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_Paenibacillaceae,536,8,129,9,58,7
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,Kurthia_Planococcaceae,11,0,0,0,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus_Planococcaceae,763,1,57,9,61,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,Paenisporosarcina_Planococcaceae,0,0,0,1,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus_Planococcaceae,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,Planomicrobium_Planococcaceae,10,0,3,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,Rummeliibacillus_Planococcaceae,71,3,5,0,2,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,Solibacillus_Planococcaceae,16,0,1,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina_Planococcaceae,78,0,1,1,2,0
