Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Lewinella,persicus,Lewinella_persicus,0,0,0,1,0,1
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Portibacter,lacus,Portibacter_lacus,0,0,0,0,1,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Rubidimonas,crustatorum,Rubidimonas_crustatorum,0,0,0,0,0,1
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Criblamydiaceae,Criblamydia,sequanensis,Criblamydia_sequanensis,0,0,0,1,0,0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Criblamydiaceae,Estrella,lausannensis,Estrella_lausannensis,0,0,0,2,0,3
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,acanthamoebae,Parachlamydia_acanthamoebae,0,0,0,6,5,4
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,thermolimosa,Anaerolinea_thermolimosa,0,0,0,1,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,thermophila,Anaerolinea_thermophila,0,0,0,0,0,1
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Levilinea,saccharolytica,Levilinea_saccharolytica,0,0,0,0,1,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea,aerophila,Litorilinea_aerophila,0,0,0,12,12,12
Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Cylindrospermopsis,raciborskii,Cylindrospermopsis_raciborskii,0,0,0,0,1,0
Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nodularia,sphaerocarpa,Nodularia_sphaerocarpa,0,0,0,1,0,0
Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Stigonema,ocellatum,Stigonema_ocellatum,0,0,0,1,2,2
